Time,HoTe,AwTe,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Ref,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HBP,ABP,HTTG,FTTG,TS,TST,TC,TF,TY,TR
15:00,Accrington,Cheltenham,4,4,D,2,1,H,R Lewis,21,7,8,6,13,10,6,2,1,1,1,0,35,10,3,8,28,14,8,23,2,1
15:00,Charlton,Lincoln,1,2,A,0,1,A,R Madley,17,10,3,4,12,7,9,4,0,1,1,1,25,35,1,3,27,7,13,19,1,2
15:00,Crewe,Fleetwood Town,1,3,A,1,1,D,W Finnie,17,13,7,7,7,10,10,1,0,0,0,0,0,0,2,4,30,14,11,17,0,0
15:00,Ipswich,Cambridge,0,1,A,0,0,D,C Hicks,12,8,6,3,11,4,6,5,4,3,0,0,40,30,0,1,20,9,11,15,7,0
15:00,Milton Keynes Dons,Shrewsbury,2,0,H,1,0,H,M Coy,10,7,6,2,3,12,4,2,0,5,0,0,0,50,1,2,17,8,6,15,5,0
15:00,Morecambe,Burton,3,0,H,2,0,H,R Joyce,22,8,8,2,6,10,11,7,1,1,0,1,10,35,2,3,30,10,18,16,2,1
15:00,Plymouth,Oxford,1,0,H,0,0,D,O Yates,11,8,1,2,11,14,1,3,1,3,0,0,10,30,0,1,19,3,4,25,4,0
15:00,Sheffield Weds,AFC Wimbledon,2,1,H,1,1,D,P Wright,16,7,5,3,8,7,9,4,2,1,0,0,20,10,2,3,23,8,13,15,3,0
15:00,Sunderland,Gillingham,1,0,H,0,0,D,O Langford,25,5,5,0,12,13,8,1,2,4,0,0,20,40,0,1,30,5,9,25,6,0
15:00,Wycombe,Doncaster,2,0,H,1,0,H,J Busby,19,17,9,5,12,9,11,4,1,1,0,0,10,10,1,2,36,14,15,21,2,0
19:45,AFC Wimbledon,Charlton,1,1,D,0,0,D,N Hair,14,8,4,3,14,13,10,3,1,2,0,1,10,45,0,2,22,7,13,27,3,1
19:45,Cambridge,Wycombe,1,4,A,0,1,A,W Finnie,9,18,2,6,8,11,3,6,1,0,0,0,10,0,1,5,27,8,9,19,1,0
19:45,Fleetwood Town,Lincoln,1,1,D,1,0,H,P Wright,17,12,4,4,15,11,4,5,2,3,0,0,20,30,1,2,29,8,9,26,5,0
19:45,Milton Keynes Dons,Crewe,2,1,H,2,0,H,R Joyce,9,4,4,1,12,14,5,3,0,1,0,0,0,10,2,3,13,5,8,26,1,0
19:45,Morecambe,Oxford,2,1,H,2,1,H,R Lewis,6,20,3,7,12,8,1,9,2,1,0,0,20,10,3,3,26,10,10,20,3,0
